"
                            عرضه ظروف مسی، چکشی، ماشینی، تاوه و...، انواع سماورهای ذغالی، دیگ، پاتیل، هسوم (کلی و جزئی)، مجسمه برنجی، دیگ و پاتیل
                            
",نجم الدین سوری,55622760-55160797,09123461859-09373461859,منطقه 12,"
                           بازار، امامزاده سید اسماعیل، کوچه غفاری، پلاک 26 (ضلع راهروی شمالی امامزاده) 
                        ",,
"
                            مشاوره ، طراحی ، فروش، ساخت، نصب و راه اندازی- تعمیر و نگهداری انواع جرثقیل های سقفی و تامین قطعات و لوازم برقی
                            
",بابک جلالی,66782821- 66782477- 66782439,9122706926,منطقه 18,"
                           شاد آباد خ 17 شهریور مقابل شهرداری ناحیه 4  پاساژ پاسارگاد  پلاک: 42 
                        ",,دارد
"
                            واردات انواع سیم بکسل و اتصالات - زنجیر و تسمه 
                            
",مهدی عرب زاده,55427458-90,,منطقه 11,"
                           قزوین - خ مخصوص   پلاک: 19 
                        ",,
"
                            انواع لوازم ایمنی
                            
",جعفر صفری,66171058-66171459,9127610173,منطقه 12,"
                           خ امام خمینی، روبروی بیمارستان سینا پاساژ رشید 3 طبقه زیرهمکف  پلاک: 24 
                        ",,
"
                            مرکز پخش شیلنگ های فشارقوی، هیدرولیک، پنوماتیک آزمایشگاهی، بخار، داروئی، اتصالات و لوله مسی
                            
",داود فریس آبادی,9124391807,9375391807,حومه تهران,"
                           جاده خاوران، شهرک صنعتی عباس آباد، قبل از نگهبانی ، مجتمع نور 
                        ",,
"
                            مشاورین املاکخرید و فروش و رهن واجارهمشارکت درساخت
                            
",حسن ناصری,66453516,9121176117,منطقه 11,"
                           جمهوری، خ 12فروردین جنوبی، نرسیده به چهارراه کمال زاده  پلاک: 132 
                        ",,
"
                            بدنسازی ، فیتنس
                            
",امیرحسین مهاجر,66028547,9122337050,منطقه 2,"
                           ستارخان، خ شادمهر کوچه گل جام  پلاک: 6 
                        ",,
"
                            تولید و پخش انواع منقل کباب دوکاره(ذغالی و شهری)، لوله آلومینیوم، لوله بخاری و اتصالات، چهارپایه فلزی، ظروف مسی و برنجی
                            
",سیف اله ملکی,55606492,09126480196-09122339701,منطقه 12,"
                           چهارراه مولوی، اول خ مصطفی خمینی  پلاک: 12 
                        ",دارد,
"
                            انواع تنظیف -متقال -لنگ -دستکش -شوینده و ضایعات پارچه و سرنخ 
                            
",ابوالفضل  صادقی,66751394- 66751395,,منطقه 12,"
                           خ امام خمینی -مقابل بیمارستان سینا  پاساژ شهلایی  طبقه زیرهمکف  پلاک: 54 
                        ",,
"
                            نمایندگی مجاز دوربین های کانن، نیکون، کاسیو و عرضه کننده و خریدار دوربین های فیلمبرداری و عکاسی (دیجیتال، آنالوگ)، انواع رم باطری و شارژر(کلی و جزئی)
                            
",علیرضا قمری,33927807-33907460,,منطقه 12,"
                           ناصرخسرو-مقابل دارالفنون-ابتدای کوچه دکتر مسعودخان  پلاک: 2 
                        ",,
"
                            فروش لوازم بهداشتی ساختمان، لوله و اتصالات
                            
",محمدحسین رستمی,55439411-13,,منطقه 11,"
                           بزرگراه نواب، نبش خ بریانک  پلاک: 4 
                        ",,
